Team,NET,Q_SCORE,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L
St. Bonaventure,85,0.8214285714285714,3,4,3,4,4,1,9,0
St. Francis (NY),321,-1.9310344827586208,0,2,1,2,0,3,8,13
St. John's (NY),69,0.375,2,10,2,4,7,0,6,1
St. Thomas,310,-2.037037037037037,0,1,0,3,0,9,7,7
Stanford,104,0.28125,3,9,2,5,5,2,6,0
Stephen F. Austin,117,0.25925925925925924,0,1,2,3,8,4,8,1
Stetson,309,-2.076923076923077,0,1,0,2,2,6,5,10
Stony Brook,233,-0.5,0,3,0,2,4,3,13,5
Syracuse,86,0.030303030303030304,0,10,4,2,6,5,6,0
Tarleton State,212,-0.9642857142857143,0,3,0,6,3,6,8,2
Temple,111,0.27586206896551724,1,5,3,4,5,2,8,1
UT-Martin,304,-1.9285714285714286,0,4,0,6,0,4,6,8
Tennessee St,273,-1.4333333333333333,0,3,0,2,0,4,12,9
Tennessee Tech,260,-1.5,0,6,0,4,0,4,9,7
Tennessee,7,2.0,11,7,5,0,4,0,6,0
Texas A&M-CC,241,-0.4666666666666667,0,2,0,1,1,2,18,6
Texas A&M,43,0.9705882352941176,4,10,5,0,5,2,8,0
UT-Arlington,234,-1.2592592592592593,0,5,0,1,5,7,4,5
TCU,44,1.125,8,8,2,4,4,0,6,0
UTEP,164,-0.23333333333333334,0,3,2,3,4,5,11,2
UTRGV,307,-2.0344827586206895,0,3,0,4,1,9,5,7
UTSA,326,-1.75,0,3,0,5,1,8,6,5
Texas Southern,197,-0.43333333333333335,1,2,0,3,0,2,17,5
Texas St,129,0.32,0,3,0,0,6,3,12,1
Texas Tech,9,1.6176470588235294,8,9,7,0,1,0,9,0
Texas,16,1.15625,5,10,5,1,3,0,8,0
Toledo,75,0.6129032258064516,0,1,3,2,7,3,14,1
Towson,72,0.4375,0,2,2,0,8,4,14,2
Troy,186,-0.17857142857142858,0,1,2,1,7,6,8,3
Tulane,97,-0.2413793103448276,0,5,3,5,5,3,6,2
Tulsa,181,-0.9354838709677419,0,5,1,7,4,5,6,3
UCLA,10,1.65625,5,4,8,2,8,1,4,0
Utah St,60,0.22580645161290322,2,11,3,1,3,1,8,2
Utah Valley,114,-0.03333333333333333,0,2,2,4,6,5,10,1
Utah,134,-0.6451612903225806,0,7,2,7,5,5,4,1
