Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
241,The Citadel,SC,13-18,-6.04,101.2,107.2,70.5,+.011,-0.69,104.4,105.1,-5.12
242,High Point,BSth,14-18,-6.16,98.4,104.5,66.5,-0.025,-3.83,100.7,104.5,+3.96
243,New Hampshire,AE,15-13,-6.32,103,109.4,62.3,-0.022,-8.32,98.6,106.9,-2.53
244,Southeast Missouri St.,OVC,14-18,-6.41,104.1,110.5,71.8,-0.036,-4.49,99.8,104.2,-3.79
245,Texas A&M Corpus Chris16,Slnd,23-12,-6.55,96.6,103.2,69.4,+.028,-10.92,98.3,109.2,-9.14
246,Mount St. Mary's,NEC,14-16,-6.56,96.1,102.6,63.3,-0.036,-7.3,99.2,106.5,+0.27
247,Elon,CAA,44856,-6.58,99.9,106.5,65.8,-0.055,+2.23,104.6,102.3,+8.96
248,Montana,BSky,18-14,-6.67,100.2,106.8,65.3,+.026,-7.47,100.6,108,-6.67
249,UMass Lowell,AE,15-16,-6.7,96.2,102.9,67.5,-0.063,-7.13,100,107.1,-2.22
250,Western Illinois,Sum,16-16,-6.77,100.4,107.1,70.6,-0.012,-5.9,102.6,108.5,-5.79
251,Stony Brook,AE,18-13,-6.77,104.1,110.9,68.2,+.099,-6.65,99.4,106,-1.28
252,South Florida,Amer,44796,-6.83,90.9,97.7,65,-0.015,+3.92,104.1,100.2,-3.53
253,Georgia Southern,SB,13-16,-7.3,96.1,103.4,66,+.038,-1.87,100.8,102.7,-0.51
254,Youngstown St.,Horz,19-15,-7.49,102.8,110.3,66.6,+.002,-9.69,98.1,107.7,-6.97
255,Northeastern,CAA,44826,-7.65,97,104.6,64.4,-0.064,-0.92,103.8,104.8,-0.05
256,Portland St.,BSky,14-17,-7.69,95.7,103.4,71,-0.015,-6.57,101.5,108,-0.22
257,Manhattan,MAAC,15-15,-7.73,100.5,108.2,68.6,+.097,-3.27,100,103.3,-6.38
258,Canisius,MAAC,44886,-7.8,97.4,105.2,68.2,+.045,-1.29,102,103.3,+0.57
259,Tennessee Tech,OVC,44886,-7.94,99.9,107.8,69.3,-0.086,-2.62,100.6,103.2,+3.56
260,Eastern Kentucky,ASun,13-18,-7.95,101.2,109.2,70.9,-0.12,-6.22,100.1,106.3,-5.62
261,UC San Diego,BW,13-16,-8,101.6,109.6,67.9,+.006,-4.2,99.3,103.5,-4.2
262,USC Upstate,BSth,15-17,-8.05,102.2,110.3,68.6,+.067,-3.25,100.6,103.9,+3.49
263,Presbyterian,BSth,44915,-8.06,96.4,104.5,64.1,-0.044,-2.89,101.8,104.7,+3.56
264,Lipscomb,ASun,14-19,-8.09,102.3,110.3,69.2,+.013,-3.1,101.3,104.4,+3.25
265,Alcorn St.,SWAC,17-17,-8.09,97.3,105.4,67.8,+.128,-3.83,99.4,103.3,+14.22
266,Miami OH,MAC,14-18,-8.17,103.5,111.7,67.7,-0.043,-4.95,100.8,105.8,-3.73
267,Ball St.,MAC,14-17,-8.39,101.4,109.8,69.9,+.021,-5.4,100.8,106.2,-5.98
268,Louisiana Monroe,SB,13-18,-8.4,101,109.4,67.7,+.005,-2.17,100.7,102.8,+1.34
269,Air Force,MWC,44883,-8.48,95.5,104,63.2,+.068,+1.53,103.5,102,-8.8
270,New Orleans,Slnd,18-14,-8.5,97,105.5,72.2,+.038,-8.87,99.8,108.7,-3.61
271,Loyola MD,Pat,14-16,-8.58,96.4,104.9,64.6,-0.037,-8.62,98.8,107.4,-4.7
272,North Florida,ASun,44885,-8.63,97.2,105.8,67.7,+.003,+1.24,103.8,102.6,+14.05
273,Tennessee St.,OVC,14-18,-8.63,98,106.6,67.5,-0.054,-7.07,98.3,105.4,-8.23
274,Southeastern Louisiana,Slnd,19-15,-8.72,102.8,111.5,70.6,+.109,-6.2,99.7,105.9,+1.83
275,FIU,CUSA,15-17,-8.8,97.3,106.1,66.7,+.050,-4.64,101.3,105.9,-11.13
276,Cal St. Bakersfield,BW,44792,-9.11,97.5,106.6,64.4,-0.052,-2.22,100.8,103,+0.64
277,Jackson St.,SWAC,44884,-9.2,93.3,102.5,63.7,-0.002,-4.29,99.7,104,+10.93
278,Dixie St.,WAC,13-18,-9.26,95.6,104.9,71.4,+.032,-0.4,102.2,102.6,-1.27
279,Pepperdine,WCC,44767,-9.7,97.4,107.1,69.9,-0.023,+3.31,104.1,100.8,-0.66
280,Duquesne,A10,44736,-9.85,98.8,108.7,65.9,-0.047,+1.64,103.2,101.5,-4.07
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
281,Prairie View A&M,SWAC,44792,-9.94,97.1,107,70.3,-0.034,-3.11,99.9,103,+16.98
282,Hartford,AE,44915,-10.05,101.1,111.2,67.2,-0.05,-7.77,98.9,106.7,-5.32
283,Radford,BSth,44883,-10.2,95.3,105.5,64.1,+.023,-3.27,100.9,104.2,+5.57
284,Bowling Green,MAC,13-18,-10.22,102.8,113,72.8,-0.011,-5.5,101.1,106.6,-8.17
285,North Carolina Central,MEAC,16-15,-10.34,96.7,107,67.6,+.044,-6.17,97.4,103.6,+2.14
286,Albany,AE,13-18,-10.47,92.2,102.7,65.2,+.042,-6.07,100.2,106.3,-0.63
287,Illinois Chicago,Horz,14-16,-10.52,99.4,109.9,69.2,+.059,-7.43,98.9,106.3,+0.62
288,San Jose St.,MWC,44796,-10.62,98.9,109.5,65.4,-0.007,+4.12,104.7,100.5,-2.71
289,North Carolina A&T,BSth,44915,-10.76,96.8,107.6,67.4,+.023,-3.19,100.5,103.7,+2.74
290,Binghamton,AE,44912,-10.76,94.9,105.6,67.1,-0.004,-6.47,100.5,107,-3.08
291,Austin Peay,OVC,44912,-10.83,94.8,105.6,64.6,+.066,-2.16,100.7,102.9,+6.69
292,Morgan St.,MEAC,13-15,-10.97,94.4,105.4,71.9,-0.021,-7.3,96.9,104.2,+1.87
293,Pacific,WCC,44795,-10.97,95,106,68.2,-0.048,-0.31,103.3,103.6,-3.43
294,Denver,Sum,44886,-11.08,99.8,110.9,66.4,-0.046,-5.58,101.9,107.5,-4.8
295,Army,Pat,15-16,-11.12,96.5,107.6,68.8,+.025,-8.42,98.6,107.1,-3.99
296,Western Carolina,SC,44886,-11.29,99,110.3,68.2,+.074,-0.55,105,105.5,-2.74
297,Northern Illinois,MAC,44825,-11.34,92.8,104.1,67,+.001,-2.89,102.3,105.2,+0.73
298,SIU Edwardsville,OVC,44886,-11.47,94,105.5,68.5,-0.024,-4.41,100.6,105,-1.82
299,Merrimack,NEC,14-16,-11.55,94.2,105.7,62.2,+.060,-7.61,99,106.6,-1.8
300,Coppin St.,MEAC,44827,-11.71,92,103.7,72.2,-0.017,-3.28,99.9,103.2,+5.50
301,UT Rio Grande Valley,WAC,44796,-11.8,99.9,111.7,71.8,-0.071,-1.47,100.6,102,-0.31
302,Lehigh,Pat,13-19,-12.07,98.1,110.2,68.1,-0.015,-8.72,98,106.7,-5.47
303,Grambling St.,SWAC,44915,-12.31,93.7,106,69.3,+.034,-4.46,98.6,103,+10.22
304,Stetson,ASun,44884,-12.44,96.6,109,65.7,-0.009,-3.99,101.8,105.8,-0.96
305,St. Thomas,Sum,44854,-12.51,106.6,119.1,65.3,-0.084,-4.87,101.9,106.8,-2.16
306,South Carolina St.,MEAC,15-16,-12.56,93.3,105.8,70,+.074,-8.53,97.3,105.9,-4.76
307,Tennessee Martin,OVC,44795,-12.64,96,108.7,68.9,-0.041,-2.13,101.3,103.4,+3.96
308,Cal Poly,BW,44763,-12.72,93,105.8,64.6,-0.034,-3.31,100.2,103.5,-2.7
309,Florida A&M,SWAC,13-17,-12.73,94.9,107.6,65.5,+.097,-6.24,98,104.3,+8.87
310,McNeese St.,Slnd,44887,-12.97,97.7,110.7,69.6,-0.042,-5.44,100.2,105.6,+4.80
311,Alabama St.,SWAC,44855,-13.19,97.1,110.3,69.4,-0.002,-6.05,98.3,104.4,+10.52
312,UTSA,CUSA,44856,-13.2,94.3,107.5,68.7,-0.02,-2.21,101.6,103.8,-8.18
313,Maryland Eastern Shore,MEAC,44881,-13.21,89.7,102.9,67.9,+.021,-5.49,98.3,103.8,+5.06
314,Alabama A&M,SWAC,44913,-13.5,87.3,100.8,66.6,+.034,-8.49,97.8,106.3,+2.23
315,North Alabama,ASun,44825,-13.57,90.2,103.8,67.7,-0.064,-3.34,102.5,105.9,+3.90
316,Eastern Michigan,MAC,44855,-13.6,93.7,107.4,69.2,+.025,-3.56,101.9,105.4,+0.31
317,Sacramento St.,BSky,44883,-13.72,95.1,108.8,64.3,+.008,-6.02,101.2,107.2,+0.88
318,Central Michigan,MAC,44765,-13.77,96.2,110,67.5,-0.001,-1.74,103.4,105.1,+2.93
319,Central Arkansas,ASun,44885,-14.14,98.7,112.9,71.9,+.098,-1.2,103,104.2,+8.37
320,Sacred Heart,NEC,44854,-14.17,101.3,115.5,67.4,-0.027,-8.67,97.8,106.5,-5.41
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
321,Evansville,MVC,44736,-14.19,92.6,106.8,64.1,-0.065,+2.11,104.2,102.1,-2.55
322,St. Francis NY,NEC,44854,-14.21,94.7,108.9,66.6,-0.037,-7.83,98.5,106.3,-1.67
323,Lafayette,Pat,44854,-14.41,97.1,111.5,64.8,-0.041,-7.88,100.3,108.2,-0.24
324,Idaho,BSky,44826,-14.6,99.2,113.8,70,-0.028,-4.97,100.9,105.9,+2.09
325,St. Francis PA,NEC,44825,-14.61,95.1,109.7,67.3,-0.075,-7.48,99.4,106.9,-2.03
326,Hampton,BSth,44823,-15.02,90.6,105.6,69.1,+.070,-5.46,99,104.5,-3.05
327,Robert Morris,Horz,44797,-15.16,98.4,113.6,66.7,-0.067,-6.28,100.4,106.6,+2.68
328,Little Rock,SB,44823,-15.18,96.9,112.1,66.7,+.075,-0.21,102.1,102.3,+3.90
329,Western Michigan,MAC,44796,-15.21,96.9,112.1,64,-0.024,-2.48,103.4,105.9,+4.56
330,Northwestern St.,Slnd,44827,-15.42,98.4,113.8,71.2,-0.06,-4.65,100.7,105.4,+6.27
331,American,Pat,44856,-16.2,94.4,110.6,64.9,+.003,-7.56,99.3,106.9,-3.92
332,Cal St. Northridge,BW,44765,-16.2,93.9,110.2,64.9,+.029,-1.64,101,102.6,+0.71
333,Bethune Cookman,SWAC,44825,-16.68,93.1,109.8,65.8,+.039,-6.67,97.7,104.4,+3.23
334,Northern Arizona,BSky,44827,-16.91,95.5,112.4,65.1,+.007,-5.18,101.6,106.8,+0.20
335,Milwaukee,Horz,44856,-17.04,91.7,108.8,66.8,-0.047,-8.13,99.4,107.5,-3.67
336,Bucknell,Pat,44827,-17.09,99.9,117,67.7,+.039,-6.27,100.4,106.7,-1.51
337,Houston Baptist,Slnd,44883,-17.14,95.2,112.3,68.8,-0.002,-8.68,99.7,108.4,-1.16
338,William & Mary,CAA,44708,-17.33,90.2,107.5,68.8,+.015,-1.13,102.6,103.7,-2.06
339,Idaho St.,BSky,44765,-17.54,93.9,111.4,63.9,-0.038,-4.94,101,105.9,+1.54
340,Chicago St.,WAC,44767,-17.64,95.5,113.1,65.6,+.040,-2.01,100.4,102.4,-5.14
341,Southern Miss,CUSA,44768,-17.85,94,111.8,67.1,+.034,-0.2,102.7,102.9,-1.21
342,NJIT,AE,44883,-18.31,89.4,107.7,66,+.092,-7.03,100,107,-6.65
343,Green Bay,Horz,44706,-18.52,91.9,110.4,64.7,-0.116,-6.48,99.9,106.4,+2.81
344,Nebraska Omaha,Sum,44706,-18.66,97.8,116.4,69.9,-0.055,-2.18,104.4,106.6,+3.56
345,Fairleigh Dickinson,NEC,44673,-19.7,94.8,114.5,69.6,-0.051,-5.36,99.9,105.3,+5.54
346,Central Connecticut,NEC,44797,-19.71,91.5,111.2,64.6,+.032,-6.39,99.7,106.1,-1.44
347,Charleston Southern,BSth,44737,-19.94,92.3,112.2,68.9,-0.002,-3.74,100.6,104.3,+0.38
348,North Dakota,Sum,44737,-19.95,96.6,116.5,67.4,-0.02,-5.68,102.1,107.8,-5.97
349,Holy Cross,Pat,44826,-20.07,91.2,111.3,67.1,+.059,-8.18,99,107.2,-4.08
350,Lamar,WAC,44619,-20.15,92,112.2,66.1,-0.065,-1.86,100.8,102.7,-1
351,Columbia,Ivy,44673,-21.02,93.2,114.2,69.5,-0.004,-4.16,100.9,105.1,-7.91
352,Arkansas Pine Bluff,SWAC,44766,-21.52,97.8,119.3,67.1,+.009,-3.84,98.8,102.6,+12.05
353,Incarnate Word,Slnd,44767,-21.92,94.8,116.7,64.6,-0.008,-6.39,100.5,106.9,+1.05
354,Maine,AE,44735,-22.06,92.2,114.3,66.2,-0.048,-5.75,99.9,105.7,+1.33
355,Mississippi Valley St.,SWAC,44618,-22.53,92.7,115.3,70.8,-0.1,-6.26,97.9,104.2,+4.98
356,Delaware St.,MEAC,44618,-24.29,86.2,110.5,68.4,-0.118,-6.08,98.2,104.2,-0.81
357,Eastern Illinois,OVC,44707,-25.72,83.2,108.9,64.7,0,-3.53,100.7,104.2,-2.12
358,IUPUI,Horz,44646,-31.57,79.4,110.9,62.3,-0.055,-7.84,99.6,107.5,-4.7
